0:0:0:0:0:0:0:1 - - [08/Jan/2018:11:04:12 +0530] "GET /FormGeneratorUtility/js/jquery-3.2.1.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [08/Jan/2018:11:04:12 +0530] "GET /FormGeneratorUtility/js/jquery.datetimepicker.full.js HTTP/1.1" 200 101621
0:0:0:0:0:0:0:1 - - [08/Jan/2018:11:04:12 +0530] "GET /FormGeneratorUtility/js/formutility.js HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [08/Jan/2018:11:04:12 +0530] "GET /FormGeneratorUtility/js/custom_alert.js HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [08/Jan/2018:11:04:12 +0530] "GET /FormGeneratorUtility/js/bootstrap-show-password.min.js HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [08/Jan/2018:11:04:12 +0530] "GET /FormGeneratorUtility/js/formutility_date.js HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [08/Jan/2018:11:04:12 +0530] "GET /FormGeneratorUtility/js/js-form-validator.min.js HTTP/1.1" 200 21307
0:0:0:0:0:0:0:1 - - [08/Jan/2018:11:04:12 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Jan/2018:11:04:18 +0530] "GET /FormGeneratorUtility/openForm/Alert_temp HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [08/Jan/2018:11:04:18 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css HTTP/1.1" 200 146011
